,arrays,label
14,"[3.34808732e-07 2.02103043e-05 3.50306377e-04 3.62390744e-03
 2.77076482e-02 8.52811751e-02 1.09879853e-01 1.13260869e-01]",0
15,"[3.34812093e-07 2.02141518e-05 3.51219320e-04 3.72040258e-03
 3.43103587e-02 1.97552378e-01 4.52730762e-01 5.75373453e-01]",0
16,"[3.36199552e-07 2.33831459e-05 5.72555187e-04 6.58637538e-03
 4.89257324e-02 1.42129595e-01 1.81760291e-01 1.87337512e-01]",0
17,"[2.31250319e-07 1.39608022e-05 2.42391872e-04 2.54936645e-03
 2.21140595e-02 9.75134640e-02 1.56255606e-01 1.67281737e-01]",0
18,"[3.47389425e-07 2.50993276e-05 5.33715629e-04 5.81823923e-03
 4.39285824e-02 1.34296721e-01 1.76105871e-01 1.82228202e-01]",0
19,"[3.34810209e-07 2.02119954e-05 3.50707090e-04 3.66570235e-03
 3.02783474e-02 1.15001884e-01 1.67213637e-01 1.75847572e-01]",0
20,"[2.02786697e-08 1.42863470e-06 3.05089445e-05 3.38761560e-04
 3.38952822e-03 3.08847798e-02 1.78753725e-01 4.53488246e-01]",0
21,"[7.09743142e-09 6.31868736e-07 2.48886420e-05 3.31002638e-04
 3.38152565e-03 3.08766564e-02 1.78746655e-01 4.53485649e-01]",0
22,"[4.40862175e-08 2.17212997e-06 3.25656621e-05 3.41072865e-04
 3.39186795e-03 3.08871510e-02 1.78755789e-01 4.53489131e-01]",0
23,"[9.96272339e-09 7.01880228e-07 1.49897345e-05 1.66529797e-04
 1.67496168e-03 1.59721059e-02 1.13058608e-01 3.68646953e-01]",0
24,"[8.13294067e-08 5.72941587e-06 1.22311931e-04 1.35386007e-03
 1.31492404e-02 9.76671233e-02 3.43385938e-01 5.85212145e-01]",0
25,"[2.02785579e-08 1.42855869e-06 3.04953911e-05 3.37397264e-04
 3.26170451e-03 2.30404905e-02 6.25600965e-02 7.72848333e-02]",0
26,"[2.02786755e-08 1.42863860e-06 3.05096426e-05 3.38832097e-04
 3.39637842e-03 3.14249363e-02 1.92861200e-01 5.04549629e-01]",0
